Timstamp,X,Y
2019.05.07.05.38.40.874,86,268
2019.05.07.05.38.40.895,86,268
2019.05.07.05.38.40.915,86,268
2019.05.07.05.38.40.935,86,268
2019.05.07.05.38.40.956,86,268
2019.05.07.05.38.40.975,86,268
2019.05.07.05.38.40.995,86,268
2019.05.07.05.38.41.015,86,268
2019.05.07.05.38.41.036,86,268
2019.05.07.05.38.41.055,86,268
2019.05.07.05.38.41.075,86,268
2019.05.07.05.38.41.096,86,268
2019.05.07.05.38.41.115,86,268
2019.05.07.05.38.41.135,86,268
2019.05.07.05.38.41.156,86,268
2019.05.07.05.38.41.175,86,268
2019.05.07.05.38.41.196,86,268
2019.05.07.05.38.41.216,86,268
2019.05.07.05.38.41.236,86,268
2019.05.07.05.38.41.256,86,268
2019.05.07.05.38.41.276,86,268
2019.05.07.05.38.41.295,86,268
2019.05.07.05.38.41.315,86,268
2019.05.07.05.38.41.336,86,268
2019.05.07.05.38.41.356,86,268
2019.05.07.05.38.41.376,86,268
2019.05.07.05.38.41.395,86,268
2019.05.07.05.38.41.415,86,268
2019.05.07.05.38.41.435,86,268
2019.05.07.05.38.41.456,86,268
2019.05.07.05.38.41.475,94,270
2019.05.07.05.38.41.495,119,279
2019.05.07.05.38.41.514,135,284
2019.05.07.05.38.41.535,150,287
2019.05.07.05.38.41.556,158,289
2019.05.07.05.38.41.575,164,290
2019.05.07.05.38.41.595,169,291
2019.05.07.05.38.41.615,172,292
2019.05.07.05.38.41.636,173,293
2019.05.07.05.38.41.655,175,294
2019.05.07.05.38.41.675,178,294
2019.05.07.05.38.41.695,180,295
2019.05.07.05.38.41.716,181,296
2019.05.07.05.38.41.736,183,297
2019.05.07.05.38.41.754,184,297
2019.05.07.05.38.41.776,186,299
2019.05.07.05.38.41.795,186,299
2019.05.07.05.38.41.815,186,299
2019.05.07.05.38.41.835,186,299
2019.05.07.05.38.41.855,186,299
2019.05.07.05.38.41.876,186,299
2019.05.07.05.38.41.895,186,299
2019.05.07.05.38.41.914,186,299
2019.05.07.05.38.41.936,186,299
2019.05.07.05.38.41.956,186,299
2019.05.07.05.38.41.975,186,299
2019.05.07.05.38.41.996,186,299
2019.05.07.05.38.42.016,186,299
2019.05.07.05.38.42.036,186,299
2019.05.07.05.38.42.056,186,299
2019.05.07.05.38.42.075,186,299
2019.05.07.05.38.42.095,186,299
2019.05.07.05.38.42.116,186,299
2019.05.07.05.38.42.136,186,299
2019.05.07.05.38.42.156,186,299
2019.05.07.05.38.42.175,186,299
2019.05.07.05.38.42.194,186,299
2019.05.07.05.38.42.216,186,299
2019.05.07.05.38.42.236,186,299
2019.05.07.05.38.42.256,186,299
2019.05.07.05.38.42.275,186,299
2019.05.07.05.38.42.296,186,299
2019.05.07.05.38.42.315,186,299
2019.05.07.05.38.42.335,186,299
2019.05.07.05.38.42.355,221,315
2019.05.07.05.38.42.375,249,333
2019.05.07.05.38.42.395,267,349
2019.05.07.05.38.42.416,284,365
2019.05.07.05.38.42.434,288,370
2019.05.07.05.38.42.456,292,375
2019.05.07.05.38.42.475,293,378
2019.05.07.05.38.42.495,294,380
2019.05.07.05.38.42.515,295,381
