Timestamp,X,Y
2019.05.10.03.41.31.310,807,169
2019.05.10.03.41.31.330,807,169
2019.05.10.03.41.31.351,807,169
2019.05.10.03.41.31.371,807,169
2019.05.10.03.41.31.391,807,169
2019.05.10.03.41.31.410,807,169
2019.05.10.03.41.31.430,807,169
2019.05.10.03.41.31.452,807,169
2019.05.10.03.41.31.471,807,169
2019.05.10.03.41.31.491,807,169
2019.05.10.03.41.31.510,807,169
2019.05.10.03.41.31.531,807,169
2019.05.10.03.41.31.551,807,169
2019.05.10.03.41.31.571,807,169
2019.05.10.03.41.31.591,807,169
2019.05.10.03.41.31.610,807,169
2019.05.10.03.41.31.632,807,169
2019.05.10.03.41.31.650,807,169
2019.05.10.03.41.31.671,807,169
2019.05.10.03.41.31.690,807,169
2019.05.10.03.41.31.711,807,169
2019.05.10.03.41.31.730,807,169
2019.05.10.03.41.31.752,807,169
2019.05.10.03.41.31.771,807,169
2019.05.10.03.41.31.791,807,169
2019.05.10.03.41.31.811,807,169
2019.05.10.03.41.31.830,807,169
2019.05.10.03.41.31.850,807,169
2019.05.10.03.41.31.871,807,169
2019.05.10.03.41.31.890,807,169
2019.05.10.03.41.31.910,807,169
2019.05.10.03.41.31.930,807,169
2019.05.10.03.41.31.950,807,169
2019.05.10.03.41.31.970,807,169
2019.05.10.03.41.31.992,807,169
2019.05.10.03.41.32.011,807,169
2019.05.10.03.41.32.032,807,169
2019.05.10.03.41.32.051,807,169
2019.05.10.03.41.32.072,807,169
2019.05.10.03.41.32.092,807,169
2019.05.10.03.41.32.112,807,169
2019.05.10.03.41.32.131,807,169
2019.05.10.03.41.32.151,807,169
2019.05.10.03.41.32.171,807,169
2019.05.10.03.41.32.190,807,169
2019.05.10.03.41.32.210,807,169
2019.05.10.03.41.32.230,807,169
2019.05.10.03.41.32.250,807,169
2019.05.10.03.41.32.271,807,169
2019.05.10.03.41.32.290,807,169
2019.05.10.03.41.32.312,807,169
2019.05.10.03.41.32.331,807,169
2019.05.10.03.41.32.350,807,169
2019.05.10.03.41.32.370,807,169
2019.05.10.03.41.32.391,807,169
2019.05.10.03.41.32.410,807,169
2019.05.10.03.41.32.432,807,169
2019.05.10.03.41.32.451,807,169
2019.05.10.03.41.32.471,807,169
2019.05.10.03.41.32.491,807,169
2019.05.10.03.41.32.512,807,169
2019.05.10.03.41.32.530,807,169
2019.05.10.03.41.32.551,807,169
